id,store_id,user_id,review,rating,status,created_at,updated_at
2,42,88,testing text,4,active,2021-03-03 14:12:26,2021-03-03 14:12:26
3,18,194,this is testing revire,4,active,2021-03-29 16:35:24,2021-03-29 16:35:24
4,18,195,best store,5,active,2021-03-30 19:34:07,2021-03-30 19:34:07
5,708,208,Nice Store,4,inactive,2021-04-12 11:21:10,2021-04-12 11:21:10
6,2875,195,i like this store.,4,active,2021-04-12 19:49:12,2021-04-12 19:49:12
7,2881,240,good,5,inactive,2021-06-14 11:22:10,2021-06-14 11:22:10
8,2881,240,good,5,inactive,2021-06-14 11:22:12,2021-06-14 11:22:12
9,2881,240,good,5,inactive,2021-06-14 11:22:13,2021-06-14 11:22:13
10,2881,240,good,5,inactive,2021-06-14 11:22:15,2021-06-14 11:22:15
11,2881,240,good,5,inactive,2021-06-14 11:22:18,2021-06-14 11:22:18
12,2881,240,good,5,inactive,2021-06-14 11:22:18,2021-06-14 11:22:18
13,2881,240,good,5,inactive,2021-06-14 11:22:18,2021-06-14 11:22:18
14,2881,240,good,5,inactive,2021-06-14 11:22:18,2021-06-14 11:22:18
15,2881,240,good,5,inactive,2021-06-14 11:22:19,2021-06-14 11:22:19
16,2881,240,good,5,inactive,2021-06-14 11:22:21,2021-06-14 11:22:21
17,2881,240,good,5,inactive,2021-06-14 11:22:21,2021-06-14 11:22:21
18,2881,240,good,5,inactive,2021-06-14 11:22:22,2021-06-14 11:22:22
19,2881,240,good,5,inactive,2021-06-14 11:22:22,2021-06-14 11:22:22
20,2881,240,good,5,inactive,2021-06-14 11:22:22,2021-06-14 11:22:22
21,2881,240,good,5,inactive,2021-06-14 11:22:22,2021-06-14 11:22:22
22,2881,240,good,5,inactive,2021-06-14 11:22:22,2021-06-14 11:22:22
28,620,241,nicee,5,inactive,2021-06-14 13:23:22,2021-06-14 13:23:22
31,813,241,nice,3,inactive,2021-06-14 13:24:17,2021-06-14 13:24:17
32,2984,241,,5,inactive,2021-06-17 15:10:37,2021-06-17 15:10:37
33,510,241,no,5,inactive,2021-07-01 15:01:48,2021-07-01 15:01:48
34,2778,241,nice one,4,inactive,2021-07-01 15:02:29,2021-07-01 15:02:29
35,2504,7,Good quality,4,inactive,2022-02-25 13:27:56,2022-02-25 13:27:56
36,3305,111,Nice Rating,1,inactive,2022-04-04 12:29:39,2022-04-04 12:29:39
